date,open,high,low,close,volume,sma_20,sma_50,sma_200,rsi,macd,pct_change,symbol
2018-04-17,0.25551,0.288,0.23983,0.2426,67462293.24,,,,,,,
2018-04-18,0.2426,0.2646,0.24201,0.262,31328095.79,,,,,,8.0,
2018-04-19,0.26199,0.275,0.25777,0.27004,50859980.22,,,,,,3.07,
2018-04-20,0.27004,0.30442,0.26648,0.30108,71084276.49,,,,,,11.49,
2018-04-21,0.30161,0.307,0.26509,0.28668,92719842.91,,,,,,-4.78,
2018-04-22,0.28669,0.2973,0.27716,0.2816,48693828.46,,,,,,-1.77,
2018-04-23,0.2816,0.28867,0.28064,0.28788,34341260.85,,,,,,2.23,
2018-04-24,0.28798,0.32,0.28593,0.30853,90526059.79,,,,,,7.17,
2018-04-25,0.3085,0.31099,0.2573,0.2687,124688510.26,,,,,,-12.91,
2018-04-26,0.2687,0.2939,0.255,0.29326,68109625.26,,,,,,9.14,
2018-04-27,0.29326,0.30643,0.28145,0.28445,69781321.86,,,,,,-3.0,
2018-04-28,0.2844,0.36498,0.2817,0.35676,168937876.23,,,,,,25.42,
2018-04-29,0.35675,0.3866,0.3415,0.36254,162840221.99,,,,,,1.62,
2018-04-30,0.36251,0.3637,0.33,0.34145,93142615.39,,,,,,-5.82,
2018-05-01,0.34145,0.36034,0.3187,0.35504,120368721.75,,,,68.61,,3.98,
2018-05-02,0.35498,0.37586,0.345,0.37199,65457686.29,,,,71.3,,4.77,
2018-05-03,0.37199,0.3885,0.36402,0.36716,88326409.65,,,,69.47,,-1.3,
2018-05-04,0.36683,0.36897,0.3465,0.358,56069269.37,,,,66.02,,-2.49,
2018-05-05,0.3584,0.37434,0.35771,0.36502,46962690.28,,,,67.36,,1.96,
2018-05-06,0.36502,0.36641,0.33538,0.34654,63926868.16,0.32,,,60.59,,-5.06,
2018-05-07,0.34599,0.3474,0.291,0.33046,64060938.79,0.32,,,55.37,,-4.64,
2018-05-08,0.33079,0.34559,0.3163,0.32213,45105012.01,0.32,,,52.83,,-2.52,
2018-05-09,0.32213,0.32547,0.298,0.31884,60635549.24,0.33,,,51.82,,-1.02,
2018-05-10,0.31884,0.3221,0.291,0.29121,38210521.24,0.32,,,44.18,,-8.67,
2018-05-11,0.29121,0.29349,0.2488,0.25573,141274876.67,0.32,,,36.7,,-12.18,
2018-05-12,0.25574,0.27898,0.23402,0.2655,145891622.18,0.32,,,39.73,-0.0,3.82,
2018-05-13,0.26497,0.285,0.256,0.27718,80814388.52,0.32,,,43.22,-0.01,4.4,
2018-05-14,0.27718,0.27815,0.25123,0.26655,91273066.64,0.32,,,40.9,-0.01,-3.84,
2018-05-15,0.26631,0.275,0.2513,0.25394,45482311.92,0.32,,,38.27,-0.01,-4.73,
2018-05-16,0.25394,0.2558,0.237,0.25237,52406357.98,0.32,,,37.94,-0.01,-0.62,
2018-05-17,0.25237,0.26054,0.23666,0.23919,40168712.8,0.31,,,35.22,-0.02,-5.22,
