date,open,high,low,close,volume,sma_20,sma_50,sma_200,rsi,macd,pct_change,symbol
2018-02-01,10285.1,10335.0,8750.99,9224.52,33564.764311,,,,,,,
2018-02-02,9224.52,9250.0,8010.02,8873.03,49971.626975,,,,,,-3.81,
2018-02-03,8873.03,9473.01,8229.0,9199.96,28725.000735,,,,,,3.68,
2018-02-04,9199.96,9368.0,7930.0,8184.81,32014.308449,,,,,,-11.03,
2018-02-05,8179.99,8382.8,6625.0,6939.99,63403.182579,,,,,,-15.21,
2018-02-06,6939.63,7878.0,6000.01,7652.14,100201.500307,,,,,,10.26,
2018-02-07,7655.02,8476.0,7150.01,7599.0,60778.460497,,,,,,-0.69,
2018-02-08,7599.0,7844.0,7572.09,7784.02,1521.537318,,,,,,2.43,
2018-02-09,7789.9,8738.0,7789.9,8683.92,20482.910825,,,,,,11.56,
2018-02-10,8683.93,9065.78,8120.0,8533.98,49381.512653,,,,,,-1.73,
2018-02-11,8533.99,8549.0,7726.53,8063.88,45025.187952,,,,,,-5.51,
2018-02-12,8063.82,8989.0,8053.0,8903.0,41987.85049,,,,,,10.41,
2018-02-13,8903.0,8950.0,8351.0,8539.9,35454.972956,,,,,,-4.08,
2018-02-14,8535.17,9489.6,8533.0,9449.99,40811.952867,,,,,,10.66,
2018-02-15,9449.98,10219.5,9301.5,10000.09,52427.596715,,,,62.26,,5.82,
2018-02-16,10000.89,10323.37,9666.0,10159.98,38161.205974,,,,63.47,,1.6,
2018-02-17,10156.07,11075.07,10050.0,11039.55,41882.108407,,,,69.27,,8.66,
2018-02-18,11039.55,11274.0,10080.0,10383.43,61137.380728,,,,61.43,,-5.94,
2018-02-19,10375.01,11250.0,10270.33,11153.0,40831.417131,,,,66.26,,7.41,
2018-02-20,11147.11,11786.01,11100.59,11200.99,48153.354288,9078.46,,,66.54,,0.43,
2018-02-21,11195.07,11304.03,10200.0,10437.6,68113.818754,9139.11,,,58.23,,-6.82,
2018-02-22,10439.02,10933.44,9679.0,9811.04,67060.166483,9186.01,,,52.44,,-6.0,
2018-02-23,9815.55,10435.0,9570.19,10131.04,57202.70237,9232.57,,,54.9,,3.26,
2018-02-24,10131.04,10496.97,9352.0,9694.51,40888.156299,9308.05,,,51.02,,-4.31,
2018-02-25,9694.51,9847.0,9274.8,9590.0,28373.517586,9440.55,,,50.1,,-1.08,
2018-02-26,9590.0,10444.32,9350.0,10324.0,34878.292756,9574.15,,,56.06,676.64,7.65,
2018-02-27,10321.0,10870.0,10121.0,10569.04,30705.385123,9722.65,,,57.87,674.52,2.37,
2018-02-28,10584.33,11098.0,10300.0,10326.76,30800.983782,9849.78,,,55.44,645.85,-2.29,
2018-03-01,10325.64,11060.41,10240.0,10920.0,25092.55393,9961.59,,,59.88,663.34,5.74,
2018-03-02,10923.36,11200.0,10770.0,11039.0,23910.71009,10086.84,,,60.72,678.99,1.09,
2018-03-03,11038.99,11544.0,11015.01,11464.48,21287.15328,10256.87,,,63.67,717.45,3.85,
2018-03-04,11464.47,11565.0,11050.02,11515.0,17295.918653,10387.47,,,64.02,743.43,0.44,
2018-03-05,11515.0,11710.0,11415.01,11454.0,15144.231063,10533.18,,,63.24,750.45,-0.53,
2018-03-06,11455.0,11455.0,10555.48,10716.48,29515.572363,10596.5,,,54.56,688.57,-6.44,
2018-03-07,10716.48,10899.0,9389.31,9910.0,50647.67108,10592.0,,,46.97,567.9,-7.53,
2018-03-08,9910.0,10099.0,9060.0,9271.64,41109.473226,10547.58,,,41.99,415.97,-6.44,
2018-03-09,9267.07,9410.0,8329.0,9227.0,64112.291407,10456.95,,,41.66,288.63,-0.48,
2018-03-10,9230.0,9490.0,8667.07,8770.22,37180.012857,10376.29,,,38.32,149.13,-4.95,
2018-03-11,8770.22,9740.0,8450.0,9533.57,44325.973386,10295.32,,,46.1,99.04,8.7,
2018-03-12,9533.57,9888.88,8780.0,9131.34,42230.77793,10191.84,,,43.02,26.57,-4.22,
2018-03-13,9131.34,9474.0,8823.0,9150.0,40191.409358,10127.46,,,43.21,-29.01,0.2,
2018-03-14,9151.92,9333.78,7900.28,8170.0,49708.094108,10045.4,,,36.37,-150.41,-10.71,
2018-03-15,8184.01,8430.0,7650.0,8240.98,52291.022277,9950.9,,,37.14,-238.15,0.87,
2018-03-16,8240.98,8611.64,7900.0,8260.0,38815.409893,9879.18,,,37.36,-302.66,0.23,
2018-03-17,8260.0,8348.62,7721.99,7824.8,33110.206329,9790.92,,,34.39,-384.46,-5.27,
2018-03-18,7824.01,8317.4,7322.0,8189.99,59488.231711,9684.22,,,38.79,-415.05,4.67,
2018-03-19,8189.0,8705.23,8088.4,8600.0,55297.084942,9585.76,,,43.39,-401.57,5.01,
2018-03-20,8595.01,9050.0,8280.0,8909.98,44865.105835,9514.92,,,46.65,-361.71,3.6,
2018-03-21,8909.96,9177.01,8750.6,8885.0,39972.405371,9413.17,,,46.41,-328.34,-0.28,
2018-03-22,8884.82,9100.0,8465.1,8722.9,40617.556809,9297.37,9407.19,,44.86,-311.4,-1.82,
2018-03-23,8720.0,8909.0,8269.0,8898.03,39991.007666,9169.05,9400.66,,46.93,-280.6,2.01,
2018-03-24,8898.04,8999.95,8491.0,8546.86,35466.609572,9020.64,9394.14,,43.4,-281.28,-3.95,
2018-03-25,8531.25,8669.85,8365.77,8470.15,29001.769316,8871.45,9379.54,,42.65,-284.74,-0.9,
2018-03-26,8470.14,8514.89,7831.0,8134.23,44033.59566,8742.33,9378.53,,39.42,-310.99,-3.97,
2018-03-27,8134.22,8215.94,7730.0,7795.51,37427.64805,8636.61,9395.64,,36.43,-355.04,-4.16,
2018-03-28,7795.51,8109.0,7728.0,7949.3,26401.33167,8570.49,9401.58,,38.71,-373.24,1.97,
2018-03-29,7949.3,7975.0,6941.11,7090.14,54620.915125,8463.65,9391.41,,31.85,-451.78,-10.81,
2018-03-30,7090.16,7292.43,6600.1,6840.23,65306.031976,8367.15,9372.53,,30.17,-528.1,-3.52,
2018-03-31,6840.24,7223.36,6777.0,6923.91,36868.539087,8236.67,9337.33,,31.47,-575.2,1.22,
2018-04-01,6922.0,7049.98,6430.0,6813.01,44071.430463,8120.75,9302.91,,30.66,-614.39,-1.6,
2018-04-02,6813.01,7125.0,6765.0,7056.0,32123.560072,8016.05,9282.75,,34.65,-618.72,3.57,
