date,open,high,low,close,volume,sma_20,sma_50,sma_200,rsi,macd,pct_change,symbol
2018-02-01,1125.96,1164.99,981.0,1041.94,203355.29052,,,,,,,
2018-02-02,1041.89,1047.2,783.67,922.3,377375.22874,,,,,,-11.48,
2018-02-03,923.67,998.0,851.0,971.0,160037.88129,,,,,,5.28,
2018-02-04,971.0,975.0,789.0,823.56,186446.0316,,,,,,-15.18,
2018-02-05,821.6,862.47,634.94,697.92,365516.52899,,,,,,-15.26,
2018-02-06,697.93,798.0,570.1,779.25,648944.4204,,,,,,11.65,
2018-02-07,779.99,849.0,714.18,754.0,356403.4441,,,,,,-3.24,
2018-02-08,753.19,786.93,751.0,781.66,10516.2619,,,,,,3.67,
2018-02-09,781.66,882.2,781.66,877.0,95447.67289,,,,,,12.2,
2018-02-10,876.3,911.2,800.0,851.15,214818.06768,,,,,,-2.95,
2018-02-11,851.15,857.0,768.28,808.99,189323.408,,,,,,-4.95,
2018-02-12,808.58,877.56,807.46,866.66,143586.93121,,,,,,7.13,
2018-02-13,866.39,871.0,820.0,841.57,110305.93537,,,,,,-2.9,
2018-02-14,841.57,924.99,841.3,919.09,150342.85558,,,,,,9.21,
2018-02-15,919.09,946.66,895.59,924.55,155637.78524,,,,50.71,,0.59,
2018-02-16,924.55,948.48,901.36,938.67,115540.16349,,,,52.12,,1.53,
2018-02-17,938.6,974.0,933.48,969.99,110091.03618,,,,55.17,,3.34,
2018-02-18,969.99,978.5,897.0,911.0,160129.79518,,,,48.85,,-6.08,
2018-02-19,911.0,956.22,906.04,938.11,80099.49534,,,,51.6,,2.98,
2018-02-20,939.17,961.0,873.0,882.99,120056.67502,875.07,,,46.18,,-5.88,
2018-02-21,882.99,908.88,812.87,835.89,176200.55151,864.77,,,42.11,,-5.33,
2018-02-22,836.35,871.96,786.6,801.49,137561.85113,858.73,,,39.38,,-4.12,
2018-02-23,801.47,885.0,785.99,851.6,154507.41338,852.76,,,44.97,,6.25,
2018-02-24,851.59,875.0,805.0,833.94,89311.5794,853.28,,,43.45,,-2.07,
2018-02-25,833.92,849.5,813.18,841.19,59431.26474,860.44,,,44.28,,0.87,
2018-02-26,841.46,882.0,833.0,867.98,74911.4656,864.88,,,47.37,-3.32,3.18,
2018-02-27,867.98,897.49,860.69,870.11,63487.68425,870.68,,,47.62,-2.53,0.25,
2018-02-28,871.84,891.0,850.3,853.5,53620.45209,874.27,,,45.8,-3.21,-1.91,
2018-03-01,853.5,879.96,848.65,870.63,43785.00503,873.96,,,48.01,-2.35,2.01,
2018-03-02,870.63,876.22,850.0,856.28,39436.26006,874.21,,,46.31,-2.78,-1.65,
2018-03-03,856.27,870.78,852.3,856.02,34170.2942,876.56,,,46.28,-3.11,-0.03,
2018-03-04,856.51,868.0,836.24,866.66,29735.01829,876.56,,,47.86,-2.49,1.24,
2018-03-05,866.61,871.75,847.2,849.84,30567.79813,876.98,,,45.57,-3.31,-1.94,
2018-03-06,849.81,853.18,803.01,813.11,48658.06883,871.68,,,40.97,-6.85,-4.32,
2018-03-07,813.31,826.2,718.4,749.9,109013.2838,862.94,,,34.5,-14.59,-7.77,
2018-03-08,749.02,772.07,684.0,695.46,76312.77819,850.78,,,30.1,-24.82,-7.26,
2018-03-09,695.48,727.92,640.0,723.71,116545.37303,838.47,,,34.75,-30.31,4.06,
2018-03-10,723.65,745.0,673.06,680.58,63012.67972,826.95,,,31.32,-37.7,-5.96,
2018-03-11,680.58,735.0,659.15,720.85,73967.35869,816.09,,,37.52,-39.85,5.92,
2018-03-12,721.0,740.5,676.31,697.11,67732.85988,806.79,,,35.49,-42.97,-3.29,
2018-03-13,696.52,713.76,680.0,689.94,55735.18315,799.5,,,34.87,-45.5,-1.03,
2018-03-14,690.16,703.54,585.0,610.1,89904.25415,789.93,,,28.87,-53.34,-11.57,
2018-03-15,610.1,621.12,570.0,608.83,94426.72453,777.79,,,28.79,-58.97,-0.21,
2018-03-16,608.83,625.3,584.15,599.05,64720.20994,766.04,,,28.1,-63.49,-1.61,
2018-03-17,599.03,609.26,544.0,546.95,68022.4592,751.33,,,24.73,-70.46,-8.7,
2018-03-18,547.98,560.0,450.0,537.0,248817.226,734.78,,,24.13,-75.91,-1.82,
2018-03-19,537.39,560.0,515.8,556.88,184798.77062,719.12,,,27.87,-77.74,3.7,
2018-03-20,556.88,567.87,515.0,557.0,135426.91549,704.3,,,27.9,-78.27,0.02,
2018-03-21,557.0,590.52,545.11,559.17,117019.17321,688.72,,,28.34,-77.62,0.39,
2018-03-22,559.15,578.6,516.0,539.92,111106.19916,672.9,788.84,,26.76,-77.76,-3.44,
2018-03-23,539.78,544.72,506.71,543.03,106416.06746,657.25,778.86,,27.46,-76.74,0.58,
2018-03-24,543.2,545.99,518.63,520.22,87710.78945,639.93,770.82,,25.52,-76.88,-4.2,
2018-03-25,521.17,536.0,512.0,523.74,71903.1713,623.63,761.88,,26.39,-75.84,0.68,
2018-03-26,523.95,527.67,465.56,485.0,151084.23688,607.22,755.11,,23.19,-77.25,-7.4,
2018-03-27,485.0,491.55,446.0,448.5,138188.76042,592.15,750.12,,20.66,-80.38,-7.53,
2018-03-28,448.5,466.0,440.14,446.67,89895.47885,579.71,743.47,,20.54,-82.07,-0.41,
2018-03-29,446.07,449.43,380.0,384.0,225341.94316,562.73,736.07,,16.88,-87.45,-14.03,
2018-03-30,383.87,412.04,366.0,392.43,292254.79437,548.32,728.28,,18.97,-90.0,2.2,
2018-03-31,392.4,419.4,388.52,393.92,167833.59399,531.97,718.62,,19.36,-90.86,0.38,
2018-04-01,393.93,399.91,356.9,378.58,150493.99422,516.05,709.17,,18.38,-91.71,-3.89,
