date,dxy,sp500,cpi,interest_rate,market_closed
2018-02-01,88.67,2821.98,249.53,1.42,False
2018-02-02,89.2,2762.13,249.53,1.42,False
2018-02-03,89.2,2762.13,249.53,1.42,True
2018-02-04,89.2,2762.13,249.53,1.42,True
2018-02-05,89.55,2648.94,249.53,1.42,False
2018-02-06,89.59,2695.14,249.53,1.42,False
2018-02-07,90.26,2681.66,249.53,1.42,False
2018-02-08,90.23,2581.0,249.53,1.42,False
2018-02-09,90.44,2619.55,249.53,1.42,False
2018-02-10,90.44,2619.55,249.53,1.42,True
2018-02-11,90.44,2619.55,249.53,1.42,True
2018-02-12,90.21,2656.0,249.53,1.42,False
2018-02-13,89.7,2662.94,249.53,1.42,False
2018-02-14,89.12,2698.63,249.53,1.42,False
2018-02-15,88.59,2731.2,249.53,1.42,False
2018-02-16,89.1,2732.22,249.53,1.42,False
2018-02-17,89.1,2732.22,249.53,1.42,True
2018-02-18,89.1,2732.22,249.53,1.42,True
2018-02-19,89.1,2732.22,249.53,1.42,True
2018-02-20,89.72,2716.26,249.53,1.42,False
2018-02-21,90.08,2701.33,249.53,1.42,False
2018-02-22,89.75,2703.96,249.53,1.42,False
2018-02-23,89.88,2747.3,249.53,1.42,False
2018-02-24,89.88,2747.3,249.53,1.42,True
2018-02-25,89.88,2747.3,249.53,1.42,True
2018-02-26,89.82,2779.6,249.53,1.42,False
2018-02-27,90.36,2744.28,249.53,1.42,False
2018-02-28,90.61,2713.83,249.53,1.42,False
2018-03-01,90.32,2677.67,249.58,1.51,False
2018-03-02,89.94,2691.25,249.58,1.51,False
2018-03-03,89.94,2691.25,249.58,1.51,True
2018-03-04,89.94,2691.25,249.58,1.51,True
2018-03-05,90.08,2720.94,249.58,1.51,False
2018-03-06,89.62,2728.12,249.58,1.51,False
2018-03-07,89.64,2726.8,249.58,1.51,False
2018-03-08,90.12,2738.97,249.58,1.51,False
2018-03-09,90.09,2786.57,249.58,1.51,False
2018-03-10,90.09,2786.57,249.58,1.51,True
2018-03-11,90.09,2786.57,249.58,1.51,True
2018-03-12,89.9,2783.02,249.58,1.51,False
2018-03-13,89.66,2765.31,249.58,1.51,False
2018-03-14,89.7,2749.48,249.58,1.51,False
2018-03-15,90.14,2747.33,249.58,1.51,False
2018-03-16,90.23,2752.01,249.58,1.51,False
2018-03-17,90.23,2752.01,249.58,1.51,True
2018-03-18,90.23,2752.01,249.58,1.51,True
2018-03-19,89.9,2712.92,249.58,1.51,False
2018-03-20,90.37,2716.94,249.58,1.51,False
2018-03-21,89.78,2711.93,249.58,1.51,False
2018-03-22,89.86,2643.69,249.58,1.51,False
2018-03-23,89.44,2588.26,249.58,1.51,False
2018-03-24,89.44,2588.26,249.58,1.51,True
2018-03-25,89.44,2588.26,249.58,1.51,True
2018-03-26,89.03,2658.55,249.58,1.51,False
2018-03-27,89.37,2612.62,249.58,1.51,False
2018-03-28,90.06,2605.0,249.58,1.51,False
2018-03-29,90.15,2640.87,249.58,1.51,False
2018-03-30,90.15,2640.87,249.58,1.51,True
2018-03-31,90.15,2640.87,249.58,1.51,True
2018-04-01,90.15,2640.87,250.23,1.69,False
2018-04-02,90.05,2581.88,250.23,1.69,False
2018-04-03,90.2,2614.45,250.23,1.69,False
2018-04-04,90.14,2644.69,250.23,1.69,False
2018-04-05,90.46,2662.84,250.23,1.69,False
2018-04-06,90.11,2604.47,250.23,1.69,False
2018-04-07,90.11,2604.47,250.23,1.69,True
2018-04-08,90.11,2604.47,250.23,1.69,True
2018-04-09,89.84,2613.16,250.23,1.69,False
2018-04-10,89.59,2656.87,250.23,1.69,False
2018-04-11,89.57,2642.19,250.23,1.69,False
2018-04-12,89.75,2663.99,250.23,1.69,False
2018-04-13,89.8,2656.3,250.23,1.69,False
2018-04-14,89.8,2656.3,250.23,1.69,True
2018-04-15,89.8,2656.3,250.23,1.69,True
2018-04-16,89.43,2677.84,250.23,1.69,False
2018-04-17,89.52,2706.39,250.23,1.69,False
2018-04-18,89.62,2708.64,250.23,1.69,False
2018-04-19,89.94,2693.13,250.23,1.69,False
2018-04-20,90.32,2670.14,250.23,1.69,False
2018-04-21,90.32,2670.14,250.23,1.69,True
2018-04-22,90.32,2670.14,250.23,1.69,True
2018-04-23,90.94,2670.29,250.23,1.69,False
2018-04-24,90.77,2634.56,250.23,1.69,False
2018-04-25,91.17,2639.4,250.23,1.69,False
2018-04-26,91.56,2666.94,250.23,1.69,False
2018-04-27,91.54,2669.91,250.23,1.69,False
